序号,英文单词,词性,中文释义
1,a (an),art.,一个(件、份.....)
2,abandon,vt.,放弃;丢弃;离弃;遗弃;抛弃
3,ability,n.,能力;本领
4,able,adj.,能够.....的;能力出众的;聪明能干的
5,abnormal,adj.,反常的;异常
6,aboard,adv./prep.,在船(或飞机、车等)上;上船;登机;上车;在(船、飞机、车)上
7,about,prep./adv.,关于;在.....周围;在....各处;在....附近;(时间上)在.....前后;在四周;到处
8,above,prep./adv.,在...上方;多于;大于;高于;在(或向)上面
9,abroad,adv.,到国外;在国外
10,absence,n.,不在,缺席;缺乏,不存在
11,absent,adj.,不在场的;缺席的;缺乏的
12,absolute,adj.,完全的;不容置疑的;绝对的
13,absolutely,adv.,完全地;绝对地;确实
14,absorb,vt.,吸收;吸引.....的注意;使全神贯注
15,abstract,adj./n.,抽象的;摘要,梗概
16,abuse,n.,滥用;妄用;虐待;辱骂
17,academic,adj.,学校的;学术的;普通文化课的
18,accent,n.,重音;口音;腔调
19,accept,vt.,接受;认可
20,access,n./vt.,接近(或进入)的机会;享用权;通道;入口;接近;进入
21,accident,n.,意外事情;事故
22,accommodate,vt.,向.....提供住处(或膳宿);容纳
23,accommodation,n.,(<英>~,<美>~s)住处;膳宿;方便设施
24,accompany,vt./vi.,陪伴,陪同;为......伴奏;伴奏;伴唱
25,accomplish,vt.,达到;完成;实现
26,accomplishment,n.,成就;完成
27,according to,phr.,按照;根据
28,account,n./vt./vi.,记述,陈述;理由;解释;账目;把......视作;把......归因于;报账;提出理由;(在数量、比例方面)占
29,accountant,n.,会计人员
30,accurate,adj.,准确的;精确的;正确无误的
31,accuse,vt.,指控;指责
32,accustom,vt.,使习惯于
33,accustomed,adj.,适应了的;习惯的
34,ache,vi./n.,疼痛
35,achieve,vt.,完成;实现;达到;得到
36,achievement,n.,成就;成绩
37,acid,adj./n.,酸的;【化】酸
38,acknowledge,vt.,承认;告知(或确认)(信件等的)收到;对.....表示感谢
39,acquire,vt.,取得;获得;学到
40,across,prep./adv.,穿过.....;越过.....;在....对面;从一边到另一边
41,act,v./vt./n.,行动;做事;表演;起作用;扮演(角色);行为,行动;法令;法案;(戏)幕
42,action,n.,行动;行为
43,active,adj.,积极的;活跃的;勤奋的
44,activity,n.,活动
45,actor,n.,男演员
46,actress,n.,女演员
47,actual,adj.,实际的,事实上的,真实的
48,actually,adv.,实际上;事实上
49,ad,n.,广告
50,adapt,vt.,(使)适应,(使)适合;改编;改写
51,adaptation,n.,改编本;改写本
52,add,v.,加;添加;进一步说(或写)
53,addict,vt.,使沉溺,使人迷;使成瘾
54,addition,n.,加;增加的人(或物)
55,additional,adj.,附加的;额外的
56,address,n./vt.,演说,讲话;地址;住址;对.....发表演说;在(信封等)上写姓名地址;对付;处理
57,adequate,adj.,足够的;恰当的
58,adjust,v.,调整;调节
59,administration,n.,管理;经营;支配
60,admire,vt.,赞美;钦佩
61,admission,n.,准许进入;入场费;入场券;录用;承认
62,admit,v.,准许.....进入(或加入);承认
63,adolescent,n./adj.,(尤指16岁以下的)青少年;青春期的;青少年的
64,adopt,vt.,采纳;通过,批准;收养
65,adorable,adj.,讨人喜欢的;可爱的
66,adore,vt.,崇拜;敬爱;爱慕;<口>极度喜爱
67,adult,n./adj.,成年人;成年的
68,advance,vi./vt./n.,前进;向前移动;使向前移动;促进;前进;进展
69,advanced,adj.,在前面的;先进的;高级的
70,advantage,n./vt.,有利条件;好处,利益;有利于;使.....处于有利地位
71,adventure,n./v.,冒险性;冒险活动;奇遇;(使)冒险;担风险
72,advertise,vt.,为·.....做广告;登广告
73,advertisement,n.,广告
74,advice,n.,劝告;忠告;意见
75,advise,vt.,劝告;建议
76,advocate,vt.,拥护;提倡;主张
77,aeroplane,n.,<英>飞机
78,affair,n.,事务;事件;[~s]私事
79,affect,vt.,影响;(在感情方面)打动;震动;(疾病)侵袭
80,affection,n.,影响;疾病;慈爱;喜爱;感情
81,afford,vt.,买得起;担负得起;提供
82,afraid,adj.,怕的,害怕的;<口>恐怕;遗憾的
83,Africa,n.,非洲
